"","case_order","children","age","income","outage_sec_perweek","email","contacts","yearly_equip_failure","tenure","monthly_charge","bandwidth_gb_year","item1","item2","item3","item4","item5","item6","item7","item8","churn","area_rural","area_suburban","area_urban","marital_divorced","marital_married","marital_never_married","marital_separated","marital_widowed","gender_female","gender_male","gender_nonbinary","techie_no","techie_yes","contract_month_to_month","contract_one_year","contract_two_year","port_modem_no","port_modem_yes","tablet_no","tablet_yes","internet_service_dsl","internet_service_fiber_optic","internet_service_none","phone_no","phone_yes","multiple_no","multiple_yes","online_security_no","online_security_yes","online_backup_no","online_backup_yes","device_protection_no","device_protection_yes","tech_support_no","tech_support_yes","streaming_tv_no","streaming_tv_yes","streaming_movies_no","streaming_movies_yes","paperless_billing_no","paperless_billing_yes","payment_method_bank_transfer_automatic","payment_method_credit_card_automatic","payment_method_electronic_check","payment_method_mailed_check"
"1",7.91461770904068,0.693147180559945,4.44265125649032,8.96944137146604,2.43265675765581,2.07944154167984,0.693147180559945,0,2.1887192874638,4.66308903284777,6.69458384367984,1.38629436111989,1.6094379124341,1.38629436111989,1.6094379124341,1.6094379124341,1.38629436111989,1.38629436111989,0.693147180559945,"Yes",0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,0
"2",7.93343838762749,0.693147180559945,4.0943445622221,9.83477446333503,2.09862915146014,2.56494935746154,0.693147180559945,0,3.05537947667589,4.85561835028178,7.68119468915935,1.38629436111989,1.6094379124341,1.38629436111989,1.09861228866811,1.38629436111989,1.6094379124341,1.6094379124341,1.38629436111989,"No",0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,0,0,1
"3",9.18409906077096,0.693147180559945,4.35670882668959,10.7544253517296,2.25411937618588,2.56494935746154,0.693147180559945,0,3.76082539433149,5.30396290048979,8.37443783931726,1.6094379124341,1.38629436111989,1.6094379124341,1.79175946922805,1.6094379124341,1.79175946922805,1.6094379124341,1.79175946922805,"Yes",0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,1,0,0,0
"4",8.10741881171997,0.693147180559945,3.91202300542815,8.55339975118514,1.95729311656069,2.56494935746154,0.693147180559945,0.693147180559945,2.2565043998905,4.75316682563778,7.12179341271541,1.38629436111989,1.38629436111989,1.6094379124341,1.38629436111989,1.79175946922805,0.693147180559945,1.09861228866811,0.693147180559945,"No",0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,1,0
"5",7.62364194651157,0.693147180559945,3.09104245335832,11.5318335746577,2.34995186366705,2.484906649788,0,0.693147180559945,1.1154700612571,5.49558623690426,6.74062869630014,1.79175946922805,1.6094379124341,1.6094379124341,1.79175946922805,0.693147180559945,1.79175946922805,1.79175946922805,1.09861228866811,"Yes",0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,1,0
"6",8.22871079879369,0.693147180559945,3.73766961828337,11.6453667636582,2.48545399996456,2.63905732961526,0,0,2.80280143684762,5.1702458985136,7.68552287090846,1.38629436111989,1.38629436111989,1.09861228866811,1.6094379124341,1.79175946922805,1.38629436111989,1.38629436111989,1.6094379124341,"Yes",0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,0
"7",8.57640505104808,1.38629436111989,3.46573590279973,10.8452814952064,2.48970843607082,2.63905732961526,0,1.09861228866811,4.25557327641662,5.27796107600865,8.74370838578848,1.09861228866811,1.09861228866811,0.693147180559945,1.6094379124341,1.09861228866811,1.6094379124341,1.38629436111989,1.38629436111989,"No",1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,1,0
"8",8.92625183503453,0,4.21950770517611,10.4104126792441,2.26022024221628,2.70805020110221,0,0.693147180559945,3.76144450443285,5.27811057758953,8.26371221334607,1.09861228866811,1.09861228866811,1.38629436111989,1.6094379124341,1.38629436111989,1.09861228866811,1.38629436111989,1.09861228866811,"No",1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0
"9",8.0258433441509,1.6094379124341,3.73766961828337,10.2609689711867,2.26145419660185,2.30258509299405,0.693147180559945,0,2.81099780803575,5.0811869500472,7.42095482815616,1.6094379124341,1.38629436111989,1.6094379124341,1.6094379124341,1.38629436111989,1.38629436111989,1.6094379124341,1.6094379124341,"No",0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,0,0
"10",8.64822145382264,0,4.21950770517611,10.0813303446202,2.1439568203598,2.70805020110221,0,0.693147180559945,3.96305902672381,5.45378788928504,8.45894145470483,1.6094379124341,1.6094379124341,1.6094379124341,1.6094379124341,1.6094379124341,1.79175946922805,1.6094379124341,1.6094379124341,"No",1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,1,0,0,1,0,0
